partyId,isActive,externalRegisteredNumber,externalSystemName,isIndividual,partyType,sourceTimestamp,lastReviewTime,nextReviewTime,countryofResidency,title,firstName,middleName,lastName,birthTime,deathTime,gender,maritalStatus,nationality,nameAlias,homePhone,cellPhone,workPhone,personalEmail,workEmail,alternateEmail,generation,birthPlaceCountry,occupation,sourceofIncome,incomeLevel,race,ethnicity,chatAddress,voiceDeviceId,voiceLoginId,GDPR_Delete
1536,,17324,CEDM,1,individual,2018-11-28T01:59:51.217-08:00,2017-12-25T03:52:23.000-08:00,2018-04-05T00:44:11.000-07:00,PRT,Hon.,Carlos,Peter,Bryant,2017-09-22,,male,divorced,Italian,mack,555-052-3309,555-845-9783,555-602-7525,Bryant.Carlos@emailprovider.com,Bryant@employer.com,,fourth,PRT,Hair Stylist,,,,,,,,0
1537,,13350,CEDM,1,individual,2018-11-28T01:59:51.217-08:00,2017-12-29T02:57:56.000-08:00,2018-04-11T18:49:37.000-07:00,MEX,Dr.,Ronald,Louis,Green,2015-01-05,,unknown,married,British,biggus,555-442-3305,555-071-4313,555-783-2398,Green.Ronald@emailprovider.com,Green@employer.com,,third,MEX,Nuclear Engineer,,,,,,,,0
1538,,14878,CEDM,1,individual,2018-11-28T01:59:51.217-08:00,2017-12-01T10:22:38.000-08:00,2018-07-03T20:09:37.000-07:00,USA,Sen.,Patricia,Melissa,Simmons,2011-12-13,,female,separated,Austrian,stinky,555-879-0178,555-352-5622,555-635-3781,Simmons.Patricia@emailprovider.com,Simmons@employer.com,,third,USA,Judge,,,,,,,,0
1539,,13351,CEDM,1,individual,2018-11-28T01:59:51.217-08:00,2017-12-11T17:28:42.000-08:00,2018-03-03T07:57:16.000-08:00,TUR,Mx.,Nicholas,Justin,Cook,2016-06-13,,indeterminate,single,Norwegian,grumpy,555-413-9712,555-036-6275,555-166-9912,Cook.Nicholas@emailprovider.com,Cook@employer.com,,fourth,TUR,Skincare Specialist,,,,,,,,0
1540,,17325,CEDM,1,individual,2018-11-28T01:59:51.217-08:00,2017-10-12T16:38:22.000-07:00,2018-09-21T17:49:39.000-07:00,NOR,Sen.,Stephen,Antonio,Allen,2015-08-28,,unknown,widowed,Mexican,biggus,555-253-0164,555-520-8225,555-769-9139,Allen.Stephen@emailprovider.com,Allen@employer.com,,fourth,NOR,Psychiatrist,,,,,,,,0
1541,,14880,CEDM,1,individual,2018-11-28T01:59:51.242-08:00,2017-10-27T13:08:31.000-07:00,2018-04-15T14:49:01.000-07:00,AUT,Dr.,Jimmy,Kevin,Turner,2016-09-14,,male,separated,Italian,doc,555-814-1636,555-289-5073,555-050-4512,Turner.Jimmy@emailprovider.com,Turner@employer.com,,fourth,AUT,Optician,,,,,,,,0
1542,,14881,CEDM,1,individual,2018-11-28T01:59:51.243-08:00,2017-11-21T18:28:02.000-08:00,2018-08-16T16:11:45.000-07:00,GRC,Dr.,Emily,Linda,Diaz,2011-10-25,,female,single,Canadian,pinky,555-202-6291,555-098-3362,555-886-5394,Diaz.Emily@emailprovider.com,Diaz@employer.com,,one,GRC,Vocational Counselor,,,,,,,,0
1543,,14882,CEDM,1,individual,2018-11-28T01:59:51.243-08:00,2017-11-02T04:15:19.000-07:00,2018-05-21T03:26:48.000-07:00,USA,Sen.,David,Martin,Moore,2012-10-28,,indeterminate,separated,French,grumpy,555-041-9111,555-997-0495,555-418-7163,Moore.David@emailprovider.com,Moore@employer.com,,fourth,USA,Nuclear Decontamination Technician,,,,,,,,0
1544,,14883,CEDM,1,individual,2018-11-28T01:59:51.243-08:00,2017-10-11T12:13:13.000-07:00,2018-06-04T10:13:30.000-07:00,IND,Sen.,Jason,Eric,Hernandez,2015-04-22,,male,widowed,Brazilian,stinky,555-817-1631,555-467-7156,555-130-2611,Hernandez.Jason@emailprovider.com,Hernandez@employer.com,,one,IND,Insurance Underwriter,,,,,,,,0
1545,,69705,CEDM,1,individual,2018-11-28T01:59:51.243-08:00,2017-10-14T17:31:36.000-07:00,2018-04-10T15:43:50.000-07:00,FRA,Dr.,Nicole,Lisa,Johnson,2014-10-20,,female,widowed,Norwegian,doc,555-591-8519,555-633-3598,555-775-7601,Johnson.Nicole@emailprovider.com,Johnson@employer.com,,fourth,FRA,Optometrist,,,,,,,,0
